,Industry,Position.to.be.closed,Interview.Type,Gender,Candidate.Current.Location,Candidate.Job.Location,Interview.Venue,Candidate.Native.location,Have.you.obtained.the.necessary.permission.to.start.at.the.required.time,Hope.there.will.be.no.unscheduled.meetings,Can.I.Call.you.three.hours.before.the.interview.and.follow.up.on.your.attendance.for.the.interview,Can.I.have.an.alternative.number..desk.number..I.assure.you.that.I.will.not.trouble.you.too.much,Have.you.taken.a.printout.of.your.updated.resume..Have.you.read.the.JD.and.understood.the.same,Are.you.clear.with.the.venue.details.and.the.landmark.,Has.the.call.letter.been.shared,Expected.Attendance,Observed.Attendance,Marital.Status
201,bfsi,routine,walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
202,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
203,bfsi,routine,walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
204,bfsi,routine,walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
205,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
206,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
207,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
208,bfsi,routine,walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
209,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
210,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
211,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
212,bfsi,routine,walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,married
213,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
214,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
215,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
216,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
217,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,married
218,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
219,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
220,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
221,bfsi,routine,walkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
222,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
223,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
224,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
225,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
226,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
227,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
228,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
229,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
230,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
231,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
232,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
233,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,married
234,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,married
235,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
236,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
237,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
238,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
239,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
240,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
241,bfsi,routine,walkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
242,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
243,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,chennai,NA,NA,NA,NA,NA,NA,NA,unknown,yes,single
244,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,bangalore,no,NA,NA,NA,NA,NA,NA,unknown,no,single
245,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,chennai,NA,NA,NA,NA,NA,NA,NA,unknown,no,single
246,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,chennai,NA,NA,NA,NA,NA,NA,NA,unknown,yes,married
247,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,kolkata,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
248,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,allahabad,NA,NA,NA,NA,NA,NA,NA,unknown,no,single
249,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,chennai,NA,NA,NA,NA,NA,NA,NA,unknown,yes,single
250,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,panjim,yes,yes,yes,yes,yes,yes,yes,yes,no,single
251,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,mumbai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
252,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,hyderabad,NA,NA,NA,NA,NA,NA,NA,unknown,yes,single
253,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
254,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
255,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,NA,NA,NA,NA,NA,NA,NA,unknown,no,single
256,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,allahabad,NA,NA,NA,NA,NA,NA,NA,unknown,no,single
257,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,allahabad,yes,yes,yes,yes,yes,yes,yes,yes,no,single
258,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,hyderabad,unknown,yes,yes,yes,yes,yes,yes,unknown,yes,single
259,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,no,single
260,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
261,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,kolkata,NA,NA,NA,NA,NA,NA,NA,unknown,yes,single
262,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,hyderabad,NA,NA,NA,NA,NA,NA,NA,unknown,no,single
263,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
264,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,kolkata,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
265,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,chennai,NA,NA,NA,NA,NA,NA,NA,unknown,yes,married
266,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,chennai,NA,NA,NA,NA,NA,NA,NA,unknown,no,single
267,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,chennai,unknown,yes,yes,yes,yes,yes,yes,unknown,no,married
268,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,kolkata,NA,NA,NA,NA,NA,NA,NA,unknown,no,single
269,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,NA,NA,NA,NA,NA,NA,NA,unknown,yes,single
270,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,kolkata,NA,NA,NA,NA,NA,NA,NA,unknown,no,married
271,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,no,married
272,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,hyderabad,yes,yes,no,yes,unknown,yes,yes,unknown,no,married
273,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,chennai,NA,NA,NA,NA,NA,NA,NA,unknown,yes,single
274,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,hyderabad,NA,NA,NA,NA,NA,NA,NA,unknown,yes,married
275,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
276,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
277,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,cochin,NA,NA,NA,NA,NA,NA,NA,unknown,no,single
278,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,pune,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
279,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,cuttack,yes,yes,yes,yes,yes,yes,yes,yes,no,single
280,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,hyderabad,NA,NA,NA,NA,NA,NA,NA,unknown,no,married
281,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,allahabad,NA,NA,NA,NA,NA,NA,NA,unknown,yes,single
282,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
283,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,no,single
284,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,NA,NA,NA,NA,NA,NA,NA,unknown,no,single
285,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,hyderabad,NA,NA,NA,NA,NA,NA,NA,unknown,yes,married
286,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,gurgaon,yes,yes,yes,yes,yes,yes,yes,yes,no,married
287,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,pune,NA,NA,NA,NA,NA,NA,NA,unknown,yes,single
288,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,visakapatinam,NA,NA,NA,NA,NA,NA,NA,unknown,no,married
289,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,mumbai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
290,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,belgaum,no,NA,NA,NA,NA,NA,NA,no,no,married
291,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,bangalore,NA,NA,NA,NA,NA,NA,NA,unknown,yes,married
292,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,cuttack,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
293,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,cochin,NA,NA,NA,NA,NA,NA,NA,unknown,no,married
294,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,noida,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
295,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,pune,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
296,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
297,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,chennai,NA,NA,NA,NA,NA,NA,NA,unknown,no,single
298,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
299,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
300,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,NA,NA,NA,NA,NA,NA,NA,unknown,yes,single
301,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
302,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,pune,yes,yes,yes,no,yes,yes,yes,unknown,yes,married
303,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,NA,NA,NA,NA,NA,NA,NA,unknown,no,single
304,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
305,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,bangalore,NA,NA,NA,NA,NA,NA,NA,unknown,yes,single
306,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,patna,NA,NA,NA,NA,NA,NA,NA,unknown,yes,single
307,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,patna,NA,NA,NA,NA,NA,NA,NA,unknown,no,married
308,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,hyderabad,NA,NA,NA,NA,NA,NA,NA,unknown,no,single
309,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,cochin,NA,NA,NA,NA,NA,NA,NA,unknown,yes,married
310,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,pune,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
311,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,cuttack,NA,NA,NA,NA,NA,NA,NA,unknown,yes,single
312,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,chennai,NA,NA,NA,NA,NA,NA,NA,unknown,no,single
313,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
314,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,unknown,unknown,no,single
315,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
316,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
317,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,bangalore,NA,NA,NA,NA,NA,NA,NA,unknown,no,married
318,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,bangalore,NA,NA,NA,NA,NA,NA,NA,unknown,yes,single
319,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,kolkata,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
320,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,hyderabad,NA,NA,NA,NA,NA,NA,NA,unknown,no,married
321,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
322,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
323,bfsi,routine,scheduledwalkin,female,bangalore,bangalore,bangalore,bangalore,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
324,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,allahabad,NA,NA,NA,NA,NA,NA,NA,unknown,yes,single
325,bfsi,routine,scheduledwalkin,male,bangalore,bangalore,bangalore,chennai,NA,NA,NA,NA,NA,NA,NA,unknown,no,single
326,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,no,single
327,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,no,married
328,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
329,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,NA,NA,NA,NA,NA,NA,NA,unknown,yes,married
330,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,no,NA,NA,NA,NA,NA,NA,no,no,single
331,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
332,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
333,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,cochin,NA,NA,NA,NA,NA,NA,NA,unknown,no,married
334,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,NA,NA,NA,NA,NA,NA,NA,unknown,no,married
335,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,NA,NA,NA,NA,NA,NA,NA,unknown,yes,single
336,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
337,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,NA,NA,NA,NA,NA,NA,NA,unknown,no,married
338,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,no,yes,yes,yes,unknown,yes,single
339,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
340,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,NA,NA,NA,NA,NA,NA,NA,unknown,yes,married
341,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,NA,NA,NA,NA,NA,NA,NA,unknown,no,married
342,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,NA,NA,NA,NA,NA,NA,NA,unknown,no,married
343,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
344,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,hyderabad,NA,NA,NA,NA,NA,NA,NA,unknown,yes,married
345,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,bangalore,no,NA,NA,NA,NA,NA,NA,no,no,single
346,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,no,NA,NA,NA,NA,NA,NA,no,no,single
347,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,NA,NA,NA,NA,NA,NA,NA,unknown,no,single
348,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
349,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,no,NA,NA,NA,NA,NA,NA,no,no,married
350,bfsi,routine,scheduledwalkin,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,unknown,yes,yes,unknown,yes,single
351,bfsi,routine,scheduledwalkin,female,chennai,chennai,chennai,chennai,NA,NA,NA,NA,NA,NA,NA,unknown,no,married
352,pharmaceuticals,niche,scheduled,male,hyderabad,chennai,hyderabad,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
353,pharmaceuticals,niche,scheduledwalkin,male,hyderabad,chennai,hyderabad,visakapatinam,yes,yes,yes,yes,yes,no,yes,unknown,no,married
354,pharmaceuticals,niche,scheduled,male,hyderabad,chennai,hyderabad,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
355,pharmaceuticals,niche,scheduled,male,hyderabad,chennai,hyderabad,visakapatinam,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
356,pharmaceuticals,niche,scheduled,female,hyderabad,chennai,hyderabad,hyderabad,NA,NA,NA,NA,NA,NA,NA,unknown,yes,single
357,pharmaceuticals,niche,scheduled,female,hyderabad,chennai,hyderabad,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
358,pharmaceuticals,niche,scheduled,male,hyderabad,chennai,hyderabad,chitoor,NA,NA,NA,NA,NA,NA,NA,unknown,no,married
359,pharmaceuticals,niche,scheduled,male,hyderabad,chennai,hyderabad,hyderabad,no,NA,NA,NA,NA,NA,NA,no,no,married
360,pharmaceuticals,niche,scheduled,male,hyderabad,chennai,hyderabad,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
361,pharmaceuticals,niche,scheduled,male,hyderabad,chennai,hyderabad,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
362,pharmaceuticals,niche,scheduled,male,hyderabad,chennai,hyderabad,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
363,pharmaceuticals,niche,scheduled,male,hyderabad,chennai,hyderabad,chitoor,NA,NA,NA,NA,NA,NA,NA,unknown,yes,married
364,pharmaceuticals,niche,scheduled,male,hyderabad,chennai,hyderabad,anantapur,yes,yes,no,yes,yes,yes,yes,unknown,yes,married
365,pharmaceuticals,niche,scheduled,male,hyderabad,chennai,hyderabad,warangal,no,NA,NA,NA,NA,NA,NA,no,no,married
366,pharmaceuticals,niche,scheduled,male,hyderabad,chennai,hyderabad,hyderabad,NA,NA,NA,NA,NA,NA,NA,unknown,yes,married
367,pharmaceuticals,niche,scheduled,male,hyderabad,chennai,hyderabad,hyderabad,NA,NA,NA,NA,NA,NA,NA,unknown,no,married
368,pharmaceuticals,niche,scheduled,female,hyderabad,chennai,hyderabad,hyderabad,yes,yes,yes,no,yes,yes,yes,unknown,no,single
369,pharmaceuticals,niche,scheduled,male,hyderabad,chennai,hyderabad,hyderabad,NA,NA,NA,NA,NA,NA,NA,unknown,no,married
370,pharmaceuticals,routine,scheduled,male,bangalore,chennai,hyderabad,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
371,pharmaceuticals,routine,scheduled,male,bangalore,visakapatinam,hyderabad,visakapatinam,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
372,pharmaceuticals,routine,scheduled,male,hyderabad,visakapatinam,hyderabad,hyderabad,yes,yes,unknown,yes,yes,yes,no,unknown,yes,married
373,pharmaceuticals,routine,scheduled,female,bangalore,visakapatinam,hyderabad,ahmedabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
374,pharmaceuticals,routine,scheduled,female,hyderabad,visakapatinam,hyderabad,ahmedabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
375,pharmaceuticals,routine,scheduled,male,hyderabad,visakapatinam,hyderabad,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
376,pharmaceuticals,routine,scheduled,male,hyderabad,visakapatinam,hyderabad,hyderabad,yes,yes,yes,yes,no,yes,yes,unknown,yes,single
377,pharmaceuticals,routine,scheduled,male,hyderabad,visakapatinam,hyderabad,visakapatinam,yes,yes,no,yes,no,yes,yes,unknown,no,married
378,pharmaceuticals,routine,scheduled,male,hyderabad,visakapatinam,hyderabad,visakapatinam,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
379,pharmaceuticals,routine,scheduled,male,hyderabad,visakapatinam,hyderabad,hyderabad,NA,NA,NA,NA,NA,NA,NA,unknown,yes,single
380,pharmaceuticals,routine,scheduled,male,hyderabad,visakapatinam,hyderabad,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
381,pharmaceuticals,routine,scheduled,female,hyderabad,visakapatinam,hyderabad,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
382,pharmaceuticals,routine,scheduled,male,hyderabad,visakapatinam,hyderabad,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
383,pharmaceuticals,routine,scheduled,male,hyderabad,visakapatinam,hyderabad,hyderabad,NA,NA,NA,NA,NA,NA,NA,unknown,no,married
384,pharmaceuticals,routine,scheduled,male,hyderabad,visakapatinam,hyderabad,hyderabad,NA,NA,NA,NA,NA,NA,NA,unknown,yes,married
385,pharmaceuticals,routine,scheduled,male,chennai,visakapatinam,hyderabad,kurnool,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
386,pharmaceuticals,routine,scheduled,male,bangalore,visakapatinam,hyderabad,vijayawada,yes,no,yes,yes,yes,yes,no,unknown,no,single
387,pharmaceuticals,routine,scheduled,male,hyderabad,visakapatinam,hyderabad,hyderabad,NA,NA,NA,NA,NA,NA,NA,unknown,yes,married
388,pharmaceuticals,routine,scheduled,female,hyderabad,visakapatinam,hyderabad,vijayawada,yes,yes,yes,no,yes,yes,yes,unknown,yes,single
389,pharmaceuticals,routine,scheduled,male,hyderabad,visakapatinam,hyderabad,vijayawada,yes,yes,yes,yes,yes,yes,yes,yes,no,married
390,pharmaceuticals,routine,scheduled,male,hyderabad,visakapatinam,hyderabad,hyderabad,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
391,pharmaceuticals,routine,scheduled,male,hyderabad,visakapatinam,hyderabad,vijayawada,NA,NA,NA,NA,NA,NA,NA,unknown,no,married
392,pharmaceuticals,niche,scheduled,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
393,pharmaceuticals,niche,scheduled,male,chennai,chennai,chennai,chennai,no,no,yes,yes,no,no,unknown,no,no,married
394,pharmaceuticals,niche,scheduled,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
395,pharmaceuticals,niche,scheduled,male,chennai,chennai,chennai,coimbatore,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
396,pharmaceuticals,niche,scheduled,male,chennai,chennai,chennai,trichy,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
397,pharmaceuticals,niche,scheduled,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,single
398,pharmaceuticals,niche,scheduled,male,chennai,chennai,chennai,chennai,yes,yes,yes,yes,yes,yes,yes,yes,yes,married
